"","ID","Tag","Site","Country","Plot","Plot_Code","Mode","Months","Initial_W","Final_W","Loss","Term_Loss","Gen_Loss","Termite_A","Fungus_A","Soil (g)","Sheeting"
"1",1,"721","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,211.98,191.9,20.08,NA,20.08,0,1,0,NA
"2",2,"725","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,206.39,187.7,18.69,NA,18.69,0,1,0,NA
"3",3,"727","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,200.15,178.7,21.45,NA,21.45,0,1,0,NA
"4",4,"731","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,188.11,148.29,39.82,NA,39.82,0,3,0,NA
"5",5,"735","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,267.74,236.3,31.44,NA,31.44,0,1,0,NA
"6",6,"739","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,203.87,195.8,8.07,NA,8.07,0,1,0,NA
"7",7,"741","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,226.8,187.2,39.6,NA,39.6,0,1,0,NA
"8",8,"743","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,271.24,258.8,12.44,NA,12.44,0,1,0,NA
"9",9,"747","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,266.03,255.2,10.83,NA,10.83,0,1,0,NA
"10",10,"749","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,201.45,191.1,10.35,NA,10.35,0,1,0,NA
"11",11,"753","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,189.68,177.3,12.38,NA,12.38,0,1,0,NA
"12",12,"757","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,242.04,219.3,22.74,NA,22.74,0,1,0,NA
"13",13,"767","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,190.3,182.1,8.2,NA,8.2,0,1,0,NA
"14",14,"769","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,208.24,198.7,9.54,NA,9.54,0,1,0,NA
"15",15,"773","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,226.38,143.2,83.18,NA,83.18,0,1,0,NA
"16",16,"783","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,247.97,213.3,34.67,NA,34.67,0,1,0,NA
"17",17,"785","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,239.37,212.3,27.07,NA,27.07,0,1,0,NA
"18",18,"789","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,225.57,185.1,40.47,NA,40.47,0,1,0,NA
"19",19,"793","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,218.39,67.3,151.09,NA,151.09,0,1,0,NA
"20",20,"797","Ankasa","Ghana","ANK1","GHA_ANK1","Closed",12,202.7,80.6,122.1,NA,122.1,0,0,0,NA
"21",21,"724","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,171.96,72.4,99.56,99.56,NA,3,1,269.2,NA
"22",22,"732","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,247.47,233.4,14.07,14.07,NA,1,1,5.1,NA
"23",23,"734","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,231.72,217,14.72,NA,14.72,0,1,0,NA
"24",24,"740","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,254,1.2,252.8,252.8,NA,4,0,482.8,NA
"25",25,"748","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,223.47,216.9,6.57,NA,6.57,0,1,0,NA
"26",26,"752","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,201,78.4,122.6,122.6,NA,3,1,329,NA
"27",27,"754","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,194.24,32.8,161.44,161.44,NA,4,0,414.5,NA
"28",28,"758","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,237.28,219.4,17.88,NA,17.88,0,0,0,NA
"29",29,"764","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,181.47,103.3,78.17,78.17,NA,3,1,130.93,NA
"30",30,"768","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,247.8,151.9,95.9,95.9,NA,2,1,161.2,NA
"31",31,"770","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,284.22,272.9,11.32,NA,11.32,0,1,0,NA
"32",32,"776","Ankasa","Ghana","ANK1","GHA_ANK1","Open",12,223.2,81.2,142,142,NA,2,1,31.8,NA
