Plot,Country,Site,Plot_Code,VegType,GPS_North,GPS_East,Max_Temp,Min_Temp,Avg_Temp,pH,NPP,Rainfall,Total_Loss,Term_Loss,Term_Absolute,Term_Prop,Microbe_Absolute,Microbe_Prop,
ANK1,Ghana,Ankasa,GHA_ANK1,Forest,5.26886,-2.69546,31.299999239999998,22,26.33333397,46.70179367,32.88354111,1876,27.33,53.69,35.78,66.63,17.92,33.37,
ANK2,Ghana,Ankasa,GHA_ANK2,Forest,5.2683,-2.69408,31.299999239999998,22,26.33333397,46.70179367,32.88354111,1876,23.85,57.01,47.37,83.09,9.64,16.91,
ANK3,Ghana,Ankasa,GHA_ANK3,Forest,5.27025,-2.69156,31.299999239999998,22.10000038,26.41666603,46.50530624,32.85479355,1875,28.42,54.24,40.58,74.81,13.67,25.19,
BK1,Ghana,Bawku,GHA_BK1,Savanna,11.01427,-0.2003,38.20000076,18.700000760000002,28.02499962,62.09295273,1.899218798,915,52.10,79.27,71.04,89.62,8.23,10.38,
BK2,Ghana,Bawku,GHA_BK2,Savanna,11.0142,-0.19807,38.20000076,18.700000760000002,28.04166603,61.73543549,1.95703125,913,16.92,45.66,36.95,80.93,8.71,19.07,
BK3,Ghana,Bawku,GHA_BK3,Savanna,11.0099,-0.199701,38.20000076,18.700000760000002,28.04166603,61.73543549,1.95703125,913,21.90,61.45,51.18,83.28,10.27,16.72,
BOB1,Ghana,Bobiri,GHA_BOB1,Forest,6.704415,-1.31857,32,20.5,25.69166565,57.35744476,28.75491333,1301,30.03,53.71,48.60,90.48,5.11,9.52,
BOB2,Ghana,Bobiri,GHA_BOB2,Forest,6.69104,-1.33892,31.89999962,20.60000038,25.65833282,56.53702545,28.12046814,1306,37.10,72.14,61.75,85.59,10.39,14.41,
BOB3,Ghana,Bobiri,GHA_BOB3,Forest,6.694,-1.294018,32,20.60000038,25.71666718,56.36299515,29.33248329,1300,43.27,68.01,50.85,74.76,17.16,25.24,
Bush_Camp,SouthAfrica,Wits_Rural,SAF_Bush_Camp,Savanna,-24.566,31.098,29.700000760000002,8.699999809,21.075000760000002,58.87914658,25.61489487,783,14.19,35.55,26.97,75.86,8.58,24.14,
JoJo,SouthAfrica,Wits_Rural,SAF_JoJo,Savanna,-24.566,31.098,29.700000760000002,8.699999809,21.075000760000002,58.87914658,25.61489487,783,9.93,25.93,18.82,72.58,7.11,27.42,
KF1,Ghana,Kogyae,GHA_KF1,Forest,7.26163,-1.15006,33.5,20.10000038,26.075000760000002,58.6341095,16.21578217,1219,31.94,60.58,42.96,70.91,17.62,29.09,
KF2,Ghana,Kogyae,GHA_KF2,Forest,7.3063,-1.15685,33.59999847,20.10000038,26.16666603,58.2737999,15.1558857,1216,37.57,61.63,40.11,65.08,21.52,34.92,
KF3,Ghana,Kogyae,GHA_KF3,Forest,7.30532,-1.15804,33.59999847,20.10000038,26.16666603,58.2737999,15.1558857,1216,21.66,44.52,33.42,75.05,11.11,24.95,
KS2,Ghana,Kogyae,GHA_KS2,Savanna,7.32904,-1.15529,33.90000153,20.10000038,26.30833244,58.80345535,14.51994801,1213,18.68,57.76,47.76,82.69,10.00,17.31,
